

2012-11-26 18:34                                                                                                            Page 1


0	   1	      2		 3	    4	       5	  6	     7		8	   9	      10
    46254      40504  	  46245	     45602  	48080  	   41055      46503  	 46119	    41498      45182  	  41640
    19031      18761  	  19479	     18706  	19492  	   18760      19453  	 18819	    18715      18780  	  19557
    16754      16521  	  16984	     16568  	16865  	   16573      16813  	 16613	    16455      16572  	  16632
    27295      26970  	  27797	     26995  	27580  	   27075      27773  	 26995	    27123      27048  	  27426
     1037  	1035  	   1055	       994  	 1049  	     991  	994  	  1002	      994  	1043  	   1070
     1796  	1799  	   1939	      1846  	 1868  	    1862       1891  	  1925	     1819  	1800  	   1799








